abv,image,name,official_content,origin,url,winery,year
40.0%,https://ip.distiller.com/images/spirits/cc365960-53ff-0133-bd27-2251ea233550/highland_park_lief_erikson_tile.jpg?1445624128,Highland Park Leif Eriksson,Leif Eriksson was an Icelandic viking who traveled from Europe and landed in North America during the early 11th century. He is often regarded as the first explorer to make the voyage. This single malt named in his honor was matured solely in American oak casks that previously aged bourbon and sherry. It's available exclusively at Global Travel Retail outlets.," Islands, Scotland
",https://distiller.com/spirits/highland-park-leif-eriksson,"
Highland Park ",NAS
40.0%,https://ip.distiller.com/images/spirits/5ec26680-534c-0133-8650-4ea694e3e632/grangestone_25_year_tile.jpg?1452026072,Grangestone 25 Year,Grangestone 25 Year is made from a blend of of single malt and single grain scotch whiskies from various distilleries in Scotland that have been aged for a minimum of 25 years.," Highlands, Scotland
",https://distiller.com/spirits/grangestone-25-year,"
Grangestone ",25 Year
45.0%,https://ip.distiller.com/images/spirits/cb3bb610-534a-0133-293c-060eb2c76ce5/fremont_mischief_whiskey_tile.jpg?1452729570,Fremont Mischief Whiskey,"Fremont Mischief Whiskey is distilled from a mash bill of 90% rye and 10% malted barley. The whiskey is pot distilled in the Fremont neighborhood of Seattle before it is aged for 8 years in medium toasted once-used bourbon barrels. Because the barrels used aren't new, it can't be labeled a rye whiskey."," Washington, USA
",https://distiller.com/spirits/fremont-mischief-whiskey,"
Fremont Mischief ",NAS
40.0%,https://ip.distiller.com/images/spirits/1e749050-5348-0133-293a-060eb2c76ce5/charred_oak_rye_whiskey_tile.jpg?1452731484,Charred Oak Rye,Charred Oak Spirits has a long family history of distilling. The story goes back to the current distiller's great-grandfather who once stored his bootleg whiskey in a barrel fashioned out of the remains of an oak tree hit by lightening. This recipe was passed down through generations and has now been revived. Charred Oak Rye is distilled from a mash bill of 95% rye and 5% barley before being aged for 18 months.," Georgia, USA
",https://distiller.com/spirits/charred-oak-rye,"
Charred Oak Spirits ",
50.0%,https://ip.distiller.com/images/spirits/5e1fd590-5342-0133-864d-4ea694e3e632/witherspoons_texas_straight_bourbon_whiskey_tile.jpg?1452030690,Witherspoon's Texas Straight Bourbon Whiskey,"Witherspoon's Texas Straight Bourbon is distilled from a mash bill of 75% corn, well exceeding the minimum 51% requirement to be labeled bourbon. The remaining grains used are barley and rye. Rumor has it this whiskey is aged between 5 or 6 years, longer than the 2 year requirement to be labeled a straight bourbon."," Texas, USA
",https://distiller.com/spirits/witherspoon-s-texas-straight-bourbon-whiskey,"
Witherspoon Distillery ",NAS
40.0%,https://ip.distiller.com/images/spirits/c7ee5cb0-5340-0133-864a-4ea694e3e632/barelhound_whisky_tile.jpg?1447272143,Barrelhound Blended Scotch Whisky,"Barrelhound Blended Scotch Whisky is a blend of various malts distilled in the Speyside region of Scotland and aged in ex-bourbon American oak barrels. After bottling, the whisky is sent to the US for distribution. It debuted early 2015 within the New York and Washington DC markets."," Speyside, Scotland
",https://distiller.com/spirits/barrelhound-blended-scotch-whisky,"
Barrelhound ",NAS
45.0%,https://ip.distiller.com/images/spirits/f1f56c90-533e-0133-8648-4ea694e3e632/thomas_tate_tobins_taos_lightning_bourbon_tile.jpg?1452718132,Thomas Tate Tobin's Taos Lightning Bourbon,"Thomas Tate Tobin's Taos Lightning Bourbon honors the original Taos Lightning spirit which was distilled in 1820  by Simeon Turley until his death in 1847 during the Taos Pueblo Revolt. It's named after one of the survivors of the revolt, Thomas Tate Tobin, who later became a bounty hunter for the Army. This chill-filtered whiskey is distilled from a mash bill of 60% corn, 40% rye and barley malt before aged for four years in new, charred American oak barrels."," New Mexico, USA
",https://distiller.com/spirits/thomas-tate-tobin-s-taos-lightning-bourbon,"
KGB Spirits ",NAS
42.8%,https://ip.distiller.com/images/spirits/f45429a0-533c-0133-8645-4ea694e3e632/blenders_pride_tile.jpg?1447271720,Blenders Pride,"Blenders Pride is the leading core brand of premium blended whisky within the Pernod Ricard portfolio in India. Without artificial flavoring, this whisky is made by blending Indian grain spirit with imported Scottish malt."," India
",https://distiller.com/spirits/blenders-pride,"
Blenders Pride ",NAS
40.0%,https://ip.distiller.com/images/spirits/a83b6bd0-533f-0133-2939-060eb2c76ce5/bickering_brothers_blended_whiskey_tile.jpg?1454539743,Bickering Brothers Blended Whiskey,"This limited release blended whiskey is named after the bickering brothers who own Dakota Spirits Distillery. Despite the bickering, the brothers agreed on using Missouri River basin water and grains grown in South Dakota to produce their first whiskey, which is a blend of 50% straight bourbon and 50% un-aged grain spirit. While the grain spirit is not aged, the bourbon is aged for at least four years at 120 proof in charred oak barrels. After blending, it's bottled at 80 proof."," South Dakota, USA
",https://distiller.com/spirits/bickering-brothers-blended-whiskey,"
Dakota Spirits Distillery ",NAS
46.1%,https://ip.distiller.com/images/spirits/0c3b5ca0-533b-0133-8643-4ea694e3e632/new_richmond_rye_tile.jpg?1447271615,New Richmond Rye,"This straight rye whiskey is produced by 45th Parallel Distilery in New Richmond, Wisconsin. It's made with rye and corn grown locally on a nearby family farm. After aging for at least 2 years in 53-gallon new American oak barrels, it's bottled at 92 proof."," Wisconsin, USA
",https://distiller.com/spirits/new-richmond-rye,"
45th Parallel Distillery ",NAS
45.6%,https://ip.distiller.com/images/spirits/bc4c0cb0-533a-0133-2936-060eb2c76ce5/border_straight_bourbon_tile.jpg?1452029839,Border Straight Bourbon,"Border Straight Bourbon is produced in small batches using artisanal distilling practices. The grains are sourced from a 6th generation family farm just 8 miles away from the distillery in New Richmond, Wisconsin. The bourbon is aged for 2 years in medium-char Ozark white oak barrels and bottled at 45.6% abv."," Wisconsin , USA
",https://distiller.com/spirits/border-straight-bourbon,"
45th Parallel Distillery ",NAS
40.0%,https://ip.distiller.com/images/spirits/3f890030-533e-0133-8646-4ea694e3e632/platte_valley_moonshine_tile.jpg?1447272079,Platte Valley Moonshine,"Bottled in a ceramic jug with a cork stopper, Platte Valley Moonshine is a 100% straight corn whiskey. While most moonshine is bottled un-aged, this one spends three years in an unspecified barrel type before being ""jugged""."," Missouri, USA
",https://distiller.com/spirits/platte-valley-moonshine,"
McCormick Distilling ",NAS
40.0%,https://ip.distiller.com/images/spirits/bc4cd040-533b-0133-8644-4ea694e3e632/rogue_farms_oregon_single_malt_whiskey_tile.jpg?1447271667,Rogue Farms Oregon Single Malt Whiskey,This Oregon Single Malt Whiskey from Rogue Ales and Spirits begins with their trademarked Risk malting barley harvested from Rogue Farms and a proprietary PacMan yeast. The whiskey is ocean-aged in oak barrels for 3 months and bottled at 40% abv.," Oregon, USA
",https://distiller.com/spirits/rogue-farms-oregon-single-malt-whiskey,"
Rogue Ales and Spirits ",NAS
47.5%,https://ip.distiller.com/images/spirits/7e0b8e60-5335-0133-863f-4ea694e3e632/13th_colony_southern_rye_whiskey_tile.jpg?1452120754,13th Colony Southern Rye Whiskey,"13th Colony Southern Rye Whiskey is made from a mash bill of 96% rye and 4% barley. After aging in new American oak barrels, the whiskey is finished with French oak spirals and bottled at 47.5% abv."," Georgia, USA
",https://distiller.com/spirits/13th-colony-southern-rye-whiskey,"
Thirteenth Colony Distilleries ",NAS
40.0%,https://ip.distiller.com/images/spirits/c9867a70-534d-0133-8652-4ea694e3e632/white_owl_whisky_tile.jpg?1452731869,White Owl Whisky,"White Owl Whisky is unlike other white whiskies in that it's been aged for a minimum of three years. Three years is the minimum amount of time a grain spirit must be aged in Canada in order to be labeled whisky. It begins with a grain whisky aged in charred oak barrels, that is then blended with older aged wheat whiskies. To achieve clarity, the color is actually charcoal-filtered out."," Canada
",https://distiller.com/spirits/white-owl-whisky,"
Highwood ",NAS
47.5%,https://ip.distiller.com/images/spirits/f60accb0-5334-0133-2934-060eb2c76ce5/13th_colony_southern_corn_whiskey_tile.jpg?1452120120,13th Colony Southern Corn Whiskey,"Southern Corn Whiskey is the first aged spirit released by 13th Colony Distilleries in Americus, Georgia. It's bottled at 95 proof after aging in old oak barrels."," Georgia, USA
",https://distiller.com/spirits/13th-colony-southern-corn-whiskey,"
Thirteenth Colony Distilleries ",NAS
54.0%,https://ip.distiller.com/images/spirits/f4005f90-5333-0133-863d-4ea694e3e632/bone_snapper_rye_whiskey_tile.jpg?1452030147,Bone Snapper Rye,"Bone Snapper Rye whiskey is distilled from 95% rye, 5% malt, and limestone-filtered water from Southern Indiana. It is aged for 2 years in new American oak barrels. Only 20 barrels are selected at a time to be batched together and bottled at 108 proof."," Indiana, USA
",https://distiller.com/spirits/bone-snapper-rye,"
Bone Snapper ",NAS
43.0%,https://ip.distiller.com/images/spirits/f8139720-5110-0133-3eb0-4a8e7651b73f/firstwatch_whisky_tile.jpg?1447204059,Firstwatch Whisky,"Firstwatch is a Canadian whisky available only in South Africa. It's distilled, blended, and aged in Canada before being shipped to South Africa where it gets bottled and distributed. This blended whiskey is bottled at 43% abv."," (bottled in South Africa), Canada
",https://distiller.com/spirits/firstwatch-whisky,"
Firstwatch ",NAS
40.0%,https://ip.distiller.com/images/spirits/6ca98c50-510e-0133-7731-2ef3a434fe55/bully_boy_white_whiskey_tile.jpg?1452030037,Bully Boy White Whiskey,"Operated by brothers Will and Dave Willis, Bully Boy Distilleries in Roxbury (Boston), Massachusetts was named after a favorite workhorse on the family farm where the brothers grew up. Their Prohibition-era style white whiskey is made from wheat and certified organic by the USDA."," Massachusetts, USA
",https://distiller.com/spirits/bully-boy-white-whiskey,"
Bully Boy  ",
45.0%,https://ip.distiller.com/images/spirits/fa053420-5108-0133-772f-2ef3a434fe55/big_ass_bourbon_tile.jpg?1445644202,Big Ass Bourbon,Big Ass Bourbon Whiskey is named after the American Mammoth donkey which is the world's largest ass. George Washington was said to have been one of the first to breed this donkey. This bourbon is distilled in Indiana and bottled in Kentucky after aging in American oak barrels.," Indiana (bottled in Kentucky), USA
",https://distiller.com/spirits/big-ass-bourbon,"
Big Ass ",NAS
46.5%,https://ip.distiller.com/images/spirits/6ca23780-50eb-0133-772b-2ef3a434fe55/the_macallan_oscuro_tile.jpg?1444419583,The Macallan Oscuro,"As part of the 1824 Collection's highest tier, this single malt is a travel retail exclusive."," Highlands, Scotland
",https://distiller.com/spirits/the-macallan-oscuro,"
The Macallan ",NAS
43.4%,https://ip.distiller.com/images/spirits/a48052b0-5112-0133-3eb1-4a8e7651b73f/old_medley_12_year_tile.jpg?1447271576,Old Medley 12 Year,"Old Medley 12 Year is a Kentucky straight bourbon made from a family recipe of corn, rye, barley, and a secret eight generation old yeast strain. The whiskey is distilled twice through copper pot stills before being aged in new, charred American oak casks for 12 years."," Kentucky (bottled in California), USA
",https://distiller.com/spirits/old-medley-12-year,"
Old Medley ",12 Year
49.5%,https://ip.distiller.com/images/spirits/015ffe70-50ea-0133-7729-2ef3a434fe55/the_macallan_mmxii_tile.jpg?1444418972,The Macallan Limited Release MMXII,"The Macallan 1824 Collection Limited Release MMXII, the third in this elite series, consists of just 1,824 decanters of a single malt whisky that has been selected from some of the rarest casks which have been maturing quietly in traditional cool stone warehouses at The Macallan Estate. Drawing on a store of such individual casks, each year’s bottling is subtly different."," Highlands, Scotland
",https://distiller.com/spirits/the-macallan-limited-release-mmxii,"
The Macallan ",
40.0%,https://ip.distiller.com/images/spirits/9818c290-50e9-0133-3e9e-4a8e7651b73f/johnnie_walker_explorers%2527_club_collection_the_adventurer_tile.jpg?1444419029,Johnnie Walker Explorers' Club The Adventurer,"This is one of four releases under the Explorers' Club sold exclusively as travel retail.  It is sold in a 1L sized bottle and is meant to be a ""rugged, vibrant whisky that makes the ideal travel companion wherever the road may take you.""  This blend has no age statement and is bottled at 80 proof."," Scotland
",https://distiller.com/spirits/johnnie-walker-explorers-club-the-adventurer,"
Johnnie Walker ",NAS
46.0%,https://ip.distiller.com/images/spirits/39a5a260-50e9-0133-3e9d-4a8e7651b73f/old_pulteney_dunnet_head_tile.jpg?1444418637,Old Pulteney Dunnet Head,"Matured in a combination of European and American casks, this travel retail exclusive is bottled at 46% ABV and non chill-filtered."," Scotland
",https://distiller.com/spirits/old-pulteney-dunnet-head,"
Old Pulteney ",NAS
40.0%,https://ip.distiller.com/images/spirits/5ad68ac0-50e7-0133-3e9c-4a8e7651b73f/the_glenlivet_master_distiller%2527s_reserve_small_batch_tile.jpg?1444417952,The Glenlivet Master Distiller's Reserve Small Batch,"This is the latest release of The Glenlivet Master Distiller's Reserve Range, a collection of non-age statement expressions available exclusively for Global Travel Retail. To produce this small batch single malt whisky, select first fill ex-Sherry and American oak casks are combined with traditional oak casks."," Speyside, Scotland
",https://distiller.com/spirits/the-glenlivet-master-distiller-s-reserve-small-batch,"
The Glenlivet ",NAS
42.5%,https://ip.distiller.com/images/spirits/8b0bce80-5334-0133-2933-060eb2c76ce5/13th_colony_southern_bourbon_tile.jpg?1452118464,13th Colony Southern Bourbon,"The mash bill for 13th Colony Southern Bourbon is comprised of 70% corn, 25% rye, and 5% malted barley, making it a""high rye"" bourbon. The whiskey is aged for 4 years in hand selected charred American oak barrels and then bottled at 42.5% abv."," Georgia, USA
",https://distiller.com/spirits/13th-colony-southern-bourbon,"
Thirteenth Colony Distilleries ",NAS
44.6%,https://ip.distiller.com/images/spirits/5c81d9a0-50e6-0133-7727-2ef3a434fe55/highland_park_ragnvald_tile.jpg?1444417469,Highland Park Ragnvald,This is one of six bottlings in the Warrior series from Highland Park. Ragnvald assisted King Harald and was given the title of Earl.  He was a noted sailor and warrior and the black dragon or drekar is a symbol from the longships that he sailed. The whisky is aged in a high percentage of European ex-sherry with some American oak and bottled at 89.2 proof.," Islands, Scotland
",https://distiller.com/spirits/highland-park-ragnvald,"
Highland Park ",
45.1%,https://ip.distiller.com/images/spirits/08f15a50-50e8-0133-7728-2ef3a434fe55/highland_park_thorfinn_tile.jpg?1444418237,Highland Park Thorfinn,"Highland Park released six bottlings in its Warrior Series collection.  Thorfinn is the pinnacle of this selection.  Thorfinn, aka Thorfinn the Mighty (b. 1009-d.1065) is still highly revered to this day in Orkney.  He took over the earl-ship from his brother Einar after he was killed by Thorfinn's foster-father.  He wore a gilded gold helmet and this symbol is prominently placed on this bottling.  The whisky is aged predominantly in European sherry casks and is bottled at 90.2 proof."," Islands, Scotland
",https://distiller.com/spirits/highland-park-thorfinn,"
Highland Park ",
40.0%,https://ip.distiller.com/images/spirits/fdc38650-50e3-0133-7726-2ef3a434fe55/the_glenlivet_master_distiller%2527s_reserve_solera_vatted_tile.jpg?1444416518,The Glenlivet Master Distiller’s Reserve Solera Vatted,"The Glenlivet Master Distiller’s Reserve Solera Vatted is a release in a collection of non-age statement expressions available exclusively for Global Travel Retail. It's triple-cask matured in traditional oak, American oak, and ex-sherry oak casks then married together in a Solera vat."," Speyside, Scotland
",https://distiller.com/spirits/the-glenlivet-master-distiller-s-reserve-solera-vatted,"
The Glenlivet ",NAS
40.0%,https://ip.distiller.com/images/spirits/4f06b0b0-50dd-0133-3e95-4a8e7651b73f/the_balvenie_triple_cask_25_tile.jpg?1444414973,The Balvenie Triple Cask 25 Year,"David Stewart has created three Triple Cask releases:  a 12 year, a 16 year, and this 25 year bottling.  This single malt is aged in a combination of traditional refill casks, first-fill ex-bourbon, and first-fill oloroso sherry casks for a minimum of 25 years.  It is bottled at 80 proof and was released to the travel retail market in spring of 2013."," Speyside, Scotland
",https://distiller.com/spirits/the-balvenie-triple-cask-25-year,"
The Balvenie ",25 Year
40.0%,https://ip.distiller.com/images/spirits/f7493700-50e2-0133-3e99-4a8e7651b73f/highland_park_harald_tile.jpg?1444416203,Highland Park Harald,"One of six bottlings in the Warrior series, this bottling is named for King Harald Fairhair, King of Norway (b. 860-d. 940).  His army, known as the ""bersekers"" were known to be fierce in bottle and often used their shields for both protection and as weapons. The shield is placed prominently on this bottling which is aged in about 50/50 ex-bourbon and ex-sherry casks.  It is bottled at 80 proof."," Islands, Scotland
",https://distiller.com/spirits/highland-park-harald,"
Highland Park ",
54.9%,https://ip.distiller.com/images/spirits/dbae27d0-50df-0133-7722-2ef3a434fe55/bowmore_springtide_tile.jpg?1452030360,Bowmore Springtide,"This travel retail exclusive is bottled at a cask-strength of 109.8 proof, after aging predominately in former oloroso sherry casks.  Springtide is named for the spring tides, when the gravitational pull of both the sun and moon cause very high and very low tides.  This occurs year-round, not just the spring, but whenever there is a new or full moon."," Islay, Scotland
",https://distiller.com/spirits/bowmore-springtide,"
Bowmore ",NAS
51.5%,https://ip.distiller.com/images/spirits/077ab9f0-50db-0133-3e94-4a8e7651b73f/auchentoshan_silver_oak_tile.jpg?1444415019,Auchentoshan Silveroak 1990,"This travel retail bottling was released in the spring of 2012.  It is a 21 year, 1990 vintage and is aged in both American ex-bourbon and first-fill Spanish oloroso sherry casks.  The name Silveroak refers to the silver rings that appear in older trees.  This is bottled at 51.5% abv and is non chill-filtered."," Lowlands, Scotland
",https://distiller.com/spirits/auchentoshan-silveroak-1990,"
Auchentoshan ",21 Year
48.0%,https://ip.distiller.com/images/spirits/b8551f70-50d5-0133-7720-2ef3a434fe55/auchenotshan_solera_tile.jpg?1444415055,Auchentoshan Solera,"This travel retail bottling was released in spring of 2012.  It is aged in a variety of oak barrels and finished in former Pedro Ximenez sherry casks, a very sweet dessert wine.  The name ""Solera"" refers to the process that sherry is produced and aged.  This triple-distilled single malt is bottled at 96 proof."," Lowlands, Scotland
",https://distiller.com/spirits/auchentoshan-solera,"
Auchentoshan ",
46.0%,https://ip.distiller.com/images/spirits/eff75480-50d4-0133-771f-2ef3a434fe55/auchentoshan_cooper%2527s_reserve_14_year_tile.jpg?1444409926,Auchentoshan Cooper's Reserve 14 Year,This bottling from Auchentoshan is a blend of whiskies aged 14 years in American ex-bourbon and former sherry casks. This triple-distilled malt is bottled at 92 proof and was released in the spring of 2012 for the travel retail market.," Lowlands, Scotland
",https://distiller.com/spirits/auchentoshan-cooper-s-reserve-14-year,"
Auchentoshan ",14 Year
43.0%,https://ip.distiller.com/images/spirits/4f4f3280-4e02-0133-2ec0-22665d3ad255/old_whiskey_river_tile.jpg?1447200570,Old Whiskey River,"Old Whiskey River is a Kentucky straight bourbon distilled from corn, barley, and rye all grown on independently owned, family-run farms. The whiskey is aged for six years in new, charred American oak barrels. It's named after the Willie Nelson song ""Whiskey River"" and was produced with his help. Each bottle even includes an autographed guitar pick."," Kentucky, USA
",https://distiller.com/spirits/old-whiskey-river,"
Old Whiskey River ",6 Year
45.5%,https://ip.distiller.com/images/spirits/0dc423c0-4dda-0133-de2b-0ee462ad8463/quincy_street_distillery_laughton_bros_tile.jpg?1452029259,Quincy Street Distillery Laughton Bros.,Laughton Bros. is an Illinois straight bourbon whiskey. It is distilled from a mash bill of 83% corn with the rest being made up of barley and rye malt. The whiskey is twice distilled in copper pot stills before aged in new charred oak barrels for 2 years.," Illinois, USA
",https://distiller.com/spirits/quincy_street_distillery_laughton-bros,"
Quincy Street Distillery ",2 Year
46.5%,https://ip.distiller.com/images/spirits/f51bff90-4dd7-0133-cf92-1a816952a8d1/cotton_hollow_rye_whiskey_tile.jpg?1453944543,Cotton Hollow Rye,"Cotton Hollow Rye is a sourced whiskey from Indiana  that has a high rye content with some malted barley. After aging in hand selected new American oak barrels, this unfiltered whiskey is bottled at 46.5% abv."," (Distilled in) Indiana, USA
",https://distiller.com/spirits/cotton-hollow-rye,"
Cotton Hollow ",NAS
44.0%,https://ip.distiller.com/images/spirits/b5bad950-4dd8-0133-cf93-1a816952a8d1/3_howls_hop_flavored_tile.jpg?1527119681,3 Howls Hop Flavored  Whiskey,"This hopped-flavored whiskey is from 3 Howls Distillery in Seattle. The whiskey is flavored with Amarillo, Horizon, and Chinook hops all grown in the Pacific Northwest."," Washington, USA
",https://distiller.com/spirits/3-howls-hopped-whiskey,"
3 Howls ",NAS
44.0%,https://ip.distiller.com/images/spirits/0b842920-4dd9-0133-cf95-1a816952a8d1/quincy_street_distillery_bourbon_spring_tile.jpg?1452029022,Quincy Street Distillery Bourbon Spring,"Bourbon Spring is named after a spring just a short walk from the Quincy Street Distillery where the Cook Count Militia was founded in 1834 and celebration involving bourbon ensued. The whiskey is distilled from a mash bill of 83% corn, 9% barley malt, and 8% rye malt. It's bottled at 44% abv after aging for 3 to 5 months in small (5-15 gallon) barrels."," Illinois , USA
",https://distiller.com/spirits/quincy-street-distillery-bourbon-spring,"
Quincy Street Distillery ",NAS
48.5%,https://ip.distiller.com/images/spirits/ab637e80-4dd7-0133-cf91-1a816952a8d1/cotton_hollow_tennessee_bourbon_tile.jpg?1523900725,Cotton Hollow Tennessee Straight Bourbon,"This straight bourbon whiskey is distilled and aged in Tennessee (distillery not disclosed). The only thing that keeps this from being a true ""Tennessee Whiskey"" is that it does not go through the Lincoln County Process which means the bourbon is not filtered through charcoal or seeped in charcoal chips before barreling. It's bottled at 48.5% abv. This in different batches so age statements may vary."," Tennessee, USA
",https://distiller.com/spirits/cotton-hollow-tennessee-straight-bourbon,"
Cotton Hollow ",
40.0%,https://ip.distiller.com/images/spirits/dcdc9ca0-4dd0-0133-cf8c-1a816952a8d1/the_glenlivet_master_distiller%2527s_reserve_tile.jpg?1444416811,The Glenlivet Master Distiller's Reserve,"Since the founding of this legendary distillery in 1824, there have only been three Master Distillers for The Glenlivet. The current Master Distiller is Alan Winchester, who has been at this post since 2009  and created this whisky through a maturation process using three different casks: traditional oak, American oak, and ex-sherry. This single malt Scotch whisky was released exclusively for Travel Retail."," Speyside, Scotland
",https://distiller.com/spirits/the-glenlivet-master-distiller-s-reserve,"
The Glenlivet ",NAS
62.5%,https://ip.distiller.com/images/spirits/11f554b0-4dd2-0133-cf8d-1a816952a8d1/the_glenlivet_single_cask_squadron_70_tile.jpg?1444691234,The Glenlivet Single Cask: Squadron 70,"The Glenlivet Single Cask: Squadron 70 was produced in honor of Captain John Gordon Smith Grant, a descendant of the distillery's founder. He was a pilot in the Royal Air Force who was injured during World War One and received care at a Canadian field hospital in France. This limited edition whisky was aged for 8 years in American oak and made available only in Canada at select tasting events."," Speyside, Scotland
",https://distiller.com/spirits/the-glenlivet-single-cask-squadron-70,"
The Glenlivet ",NAS
43.0%,https://ip.distiller.com/images/spirits/41068540-4dcf-0133-cf8b-1a816952a8d1/caol_ilsa_flora_fauna_15_year_tile.jpg?1444690843,Caol Ila 15 Year Flora & Fauna,This 15 year single malt whisky was produced for Diageo's Flora & Fauna series and distilled by Caol Ila near Port Askaig on the isle of Islay. This is a rare expression that is now discontinued.," Islay, Scotland
",https://distiller.com/spirits/caol-ila-15-year-flora-fauna,"
Caol Ila ",15 Year
58.4%,https://ip.distiller.com/images/spirits/11ce1a00-4dd0-0133-de24-0ee462ad8463/caol_ila_1979_cask_strength_25_year_tile.jpg?1444690983,Caol Ila 25 Year Natural Cask Strength 1979,"This limited edition, 25 year Islay single malt whisky from Caol Ila was originally distilled in 1979 and bottled in 2005 at 58.4% abv. It has since been updated with another 25 year expression at 43% abv."," Islay, Scotland
",https://distiller.com/spirits/caol-ila-25-year-natural-cask-strength-1979,"
Caol Ila ",25 Year
46.0%,https://ip.distiller.com/images/spirits/e6d2f3e0-4ab7-0133-3bbf-5281fb1f3971/smokey_joe_tile.jpg?1445893690,Smokey Joe,"Smokey Joe is a blend of various single malts from Islay. Produced by Angus Dundee, the whisky is non-chill-filtered and bottled at 46% abv."," Islay, Scotland
",https://distiller.com/spirits/smokey-joe,"
Smokey Joe ",NAS
46.5%,https://ip.distiller.com/images/spirits/4fc88550-4dd7-0133-de28-0ee462ad8463/cotton_hollow_kentucky_bourbon_tile.jpg?1453944008,Cotton Hollow Kentucky Straight Bourbon,"Cotton Hollow Kentucky Straight Bourbon Whiskey is distilled from sweet corn, rye, and malted barley. At the base of the whiskey is pure, limestone-filtered water. After aging in new American oak barrels, the unfiltered whisky is bottled at 46.5% abv. The first batch was aged for 4 years and released in 2014. The second batch was aged for 8 years and released in 2015."," Kentucky, USA
",https://distiller.com/spirits/cotton-hollow-kentucky-straight-bourbon,"
Cotton Hollow ",Varies by Batch
43.0%,https://ip.distiller.com/images/spirits/c4fa85a0-4dd6-0133-de27-0ee462ad8463/glenfiddich_125th_anniversary_edition_tile.jpg?1444691547,Glenfiddich 125th Anniversary Edition,"On Christmas Day in 1887, William Grant built Glenfiddich Distillery with his seven sons and two daughters. Glenfiddich 125th Anniversary Edition was a Travel Retail exclusive and limited release in 2012 to celebrate William Grant and the legacy of Glenfiddich."," Speyside, Scotland
",https://distiller.com/spirits/glenfiddich-125th-anniversary-edition,"
Glenfiddich ",NAS
45.0%,https://ip.distiller.com/images/spirits/94c36c20-4ab6-0133-3bbd-5281fb1f3971/pinhook_bourbon_2_bourbonize_tile.jpg?1450470046,Pinhook Lot Release #2 Bourbonize,"Pinhook Bourbon's Lot Release #2 is dedicated to Bourbonize, an actively competing racehorse from Bourbon Lane Stables in Versailles, Kentucky. The mash bill of this straight bourbon whiskey is comprised of 75% corn, 20.5% rye, and 4.5% malted barley. Only 2,180 bottles of this high-rye bourbon were released."," Kentucky, USA
",https://distiller.com/spirits/pinhook-lot-release-2-bourbonize,"
Pinhook Bourbon ",NAS
45.0%,https://ip.distiller.com/images/spirits/cff67b50-4ab5-0133-26c1-6e272c2c7522/pinhook_bourbon_1_bourbon_courage_tile.jpg?1450469725,Pinhook Lot Release #1 Bourbon Courage,"Pinhook Bourbon partnered with Bourbon Lane Stable to produce a series of whiskeys profiling exceptional and actively competing racehorses. Originally purchased for $15,000 with earnings currently over $1.1 million, Bourbon Courage was selected for their inaugural Lot Release #1. Its mash bill of 75% corn, 20.5% rye, and 4.5% malted barley makes this a ""high-rye"" bourbon. Only 5,000 bottles were released in 2014."," Kentucky, USA
",https://distiller.com/spirits/pinhook-lot-release-1-bourbon-courage,"
Pinhook Bourbon ",NAS
45.0%,https://ip.distiller.com/images/spirits/6b6baec0-4ab1-0133-26bf-6e272c2c7522/john_myer_rye_whiskey_tile.jpg?1447194276,John Myer Rye Whiskey,"This whiskey is comprised of 70% Danko winter rye with corn and unmalted barley filling out the rest of the mash bill. It's aged for about 10 months in 30-gallon, medium-char American oak and bottled at 45% abv."," New York, USA
",https://distiller.com/spirits/john-myer-rye-whiskey,"
Myer Farm Distillers ",NAS
45.0%,https://ip.distiller.com/images/spirits/f36f0cc0-4ab1-0133-3bbc-5281fb1f3971/john_myer_four_grain_whiskey_tile.jpg?1452726466,John Myer Four Grain Whiskey,"This Four Grain Whiskey contains the same organic grains as the John Myer Bourbon, but with different percentages filling the mash bill: corn (at 47%), rye, spring wheat, and unmalted barley. It ages for about 12 months in once-used medium-char American oak barrels and is bottled at 45% ABV."," New York, USA
",https://distiller.com/spirits/john-myer-four-grain-whiskey,"
Myer Farm Distillers ",NAS
43.0%,https://ip.distiller.com/images/spirits/2b177630-4ab7-0133-3bbe-5281fb1f3971/traverse_city_whiskey_co_bourbon_tile.jpg?1447200064,Traverse City Whiskey Co Straight Bourbon,"Traverse City Whiskey Co Straight Bourbon is made with a mash bill of corn, rye, and barley. Aged for 4 years in new American oak, it's bottled at 43% abv."," Michigan, USA
",https://distiller.com/spirits/traverse-city-whiskey-co-straight-bourbon,"
Traverse City Whiskey Co ",4 Year
43.0%,https://ip.distiller.com/images/spirits/b64a3880-4a15-0133-d14a-0ab95239e4e4/slyrs_single_malt_tile.jpg?1443668089,Slyrs Bavarian Single Malt,"Located in Schliersee in Bavaria, the Slyrs distillery is the largest in Germany. The distillery has been producing whisky since 1999 when it was founded by Florian Stetter, and released their first product to the market in 2002."," Bavaria, Germany
",https://distiller.com/spirits/slyrs-bavarian-single-malt,"
Slyrs ",3 Year
